room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
11804589,1527,57485065,Shared room,,Warsaw,,Warsaw,7,2.5,16,1.0,,12.0,,2017-07-25 13:26:46.716471,52.240652,20.993434,0101000020E610000006BCCCB051FE3440C6DB4AAFCD1E4A40
11232605,1527,57100795,Shared room,,Warsaw,,Warsaw,17,5.0,7,1.0,,11.0,,2017-07-25 13:26:46.708955,52.220831,21.011421,0101000020E6100000D47C957CEC023540B378B130441C4A40
16949591,1527,102824849,Shared room,,Warsaw,,Warsaw,3,4.5,1,1.0,,11.0,,2017-07-25 13:26:46.705738,52.192763,21.001625,0101000020E610000023DBF97E6A0035407E703E75AC184A40
13003757,1527,70961688,Shared room,,Warsaw,,Warsaw,6,5.0,1,1.0,,25.0,,2017-07-25 13:26:46.702519,52.168524,20.992706,0101000020E6100000008BFCFA21FE3440A94BC63192154A40
11416886,1527,20589529,Shared room,,Warsaw,,Warsaw,1,0.0,1,1.0,,14.0,,2017-07-25 13:26:46.699615,52.207776,20.998643,0101000020E61000001C615111A7FF344065726A67981A4A40
5596925,1527,27659983,Shared room,,Warsaw,,Warsaw,4,5.0,1,1.0,,16.0,,2017-07-25 13:26:46.696446,52.258831,21.0446,0101000020E6100000CF66D5E76A0B35407218CC5F21214A40
10628210,1527,54859510,Shared room,,Warsaw,,Warsaw,0,0.0,1,1.0,,20.0,,2017-07-25 13:26:46.689081,52.218288,21.157158,0101000020E6100000054EB6813B283540FC8D76DCF01B4A40
6418344,1527,32563183,Shared room,,Warsaw,,Warsaw,1,0.0,1,1.0,,20.0,,2017-07-25 13:26:44.144850,52.226265,20.944264,0101000020E610000047CA1649BBF134405E9D6340F61C4A40
14620928,1527,89738169,Shared room,,Warsaw,,Warsaw,5,5.0,2,1.0,,14.0,,2017-07-25 13:26:44.142357,52.233971,21.001201,0101000020E6100000F5B86FB54E003540309B00C3F21D4A40
15118557,1527,7667760,Shared room,,Warsaw,,Warsaw,0,0.0,1,1.0,,25.0,,2017-07-25 13:26:44.139645,52.248453,20.983524,0101000020E6100000C3D4963AC8FB3440EACBD24ECD1F4A40
11783536,1527,4805281,Shared room,,Warsaw,,Warsaw,13,5.0,1,1.0,,13.0,,2017-07-25 13:26:44.137204,52.210977,20.978759,0101000020E610000069AA27F38FFA3440A69A594B011B4A40
6699517,1527,1859979,Shared room,,Warsaw,,Warsaw,13,4.5,8,1.0,,11.0,,2017-07-25 13:26:44.134286,52.219747,21.020354,0101000020E6100000C15774EB35053540723271AB201C4A40
16831236,1527,110161810,Shared room,,Warsaw,,Warsaw,3,3.5,8,1.0,,12.0,,2017-07-25 13:26:44.131244,52.18147,20.941509,0101000020E6100000C1E3DBBB06F13440419AB1683A174A40
16907201,1527,86698585,Shared room,,Warsaw,,Warsaw,8,4.0,8,1.0,,14.0,,2017-07-25 13:26:44.128241,52.229461,21.010228,0101000020E6100000E5805D4D9E0235408E5A61FA5E1D4A40
13850909,1527,60393922,Shared room,,Warsaw,,Warsaw,1,0.0,5,1.0,,11.0,,2017-07-25 13:26:44.125670,52.188508,20.881624,0101000020E6100000635E471CB2E134406684B70721184A40
7690226,1527,39608869,Shared room,,Warsaw,,Warsaw,1,0.0,1,1.0,,12.0,,2017-07-25 13:26:44.122630,52.236779,21.007241,0101000020E6100000BA30D28BDA01354096B036C64E1E4A40
16493515,1527,32509009,Shared room,,Warsaw,,Warsaw,2,0.0,6,1.0,,11.0,,2017-07-25 13:26:44.120133,52.249796,21.038875,0101000020E6100000CBA145B6F3093540F855B950F91F4A40
9938249,1527,46989124,Shared room,,Warsaw,,Warsaw,1,0.0,4,1.0,,16.0,,2017-07-25 13:26:44.117355,52.191681,20.963402,0101000020E6100000A7E67283A1F63440DE21C50089184A40
15668646,1527,47246114,Shared room,,Warsaw,,Warsaw,0,0.0,1,1.0,,19.0,,2017-07-25 13:26:44.114515,52.231785,20.993114,0101000020E6100000223317B83CFE3440085A8121AB1D4A40
13004694,1527,56362146,Shared room,,Warsaw,,Warsaw,29,4.5,2,1.0,,14.0,,2017-07-25 13:26:44.111933,52.222296,20.932107,0101000020E6100000675F79909EEE34400C040132741C4A40
7435718,1527,38646412,Shared room,,Warsaw,,Warsaw,4,4.5,2,1.0,,21.0,,2017-07-25 13:26:44.108500,52.220013,20.988912,0101000020E6100000389F3A5629FD3440F1D8CF62291C4A40
12939352,1527,71065400,Shared room,,Warsaw,,Warsaw,0,0.0,1,1.0,,24.0,,2017-07-25 13:26:44.105627,52.254157,20.985405,0101000020E61000009C50888043FC34405586713788204A40
447844,1527,2223945,Shared room,,Warsaw,,Warsaw,8,4.0,6,1.0,,16.0,,2017-07-25 13:26:44.103246,52.282066,21.022957,0101000020E6100000DB368C82E005354022A81ABD1A244A40
15130126,1527,95921286,Shared room,,Warsaw,,Warsaw,1,0.0,1,1.0,,11.0,,2017-07-25 13:26:44.100138,52.227058,21.087715,0101000020E61000005F5E807D74163540C8258E3C101D4A40
7715072,1527,40530793,Shared room,,Warsaw,,Warsaw,8,4.5,1,1.0,,12.0,,2017-07-25 13:26:44.092787,52.224942,21.020305,0101000020E6100000FEF15EB53205354098BF42E6CA1C4A40
16839743,1527,40883483,Shared room,,Warsaw,,Warsaw,9,5.0,2,1.0,,19.0,,2017-07-25 13:26:41.643351,52.160155,21.068766,0101000020E6100000A51309A69A1135403CA583F57F144A40
4315679,1527,13157763,Shared room,,Warsaw,,Warsaw,37,5.0,4,1.0,,20.0,,2017-07-25 13:26:41.640656,52.225622,21.01299,0101000020E6100000CF2C0950530335400AA1832EE11C4A40
7668805,1527,32359496,Shared room,,Warsaw,,Warsaw,9,4.5,1,1.0,,14.0,,2017-07-25 13:26:41.637885,52.204269,20.917848,0101000020E6100000F2B22616F8EA3440164B917C251A4A40
18972833,1527,132335796,Shared room,,Warsaw,,Warsaw,1,0.0,2,1.0,,18.0,,2017-07-25 13:26:41.635864,52.248595,21.076446,0101000020E6100000F7E80DF7911335407D7901F6D11F4A40
19029181,1527,4805281,Shared room,,Warsaw,,Warsaw,2,0.0,3,1.0,,15.0,,2017-07-25 13:26:41.633575,52.210387,20.978027,0101000020E6100000E19A3BFA5FFA3440744012F6ED1A4A40
16908156,1527,86698585,Shared room,,Warsaw,,Warsaw,10,5.0,6,1.0,,15.0,,2017-07-25 13:26:41.630880,52.22889,21.00896,0101000020E6100000DFF8DA334B023540D3307C444C1D4A40
7823016,1527,41184633,Shared room,,Warsaw,,Warsaw,34,5.0,2,1.0,,23.0,,2017-07-25 13:26:41.628713,52.232467,20.987868,0101000020E6100000D2C3D0EAE4FC34401A33897AC11D4A40
16949388,1527,102824849,Shared room,,Warsaw,,Warsaw,1,0.0,1,1.0,,13.0,,2017-07-25 13:26:41.626475,52.192206,21.002257,0101000020E6100000E42F2DEA93003540280CCA349A184A40
16518504,1527,58718882,Shared room,,Warsaw,,Warsaw,4,4.5,3,1.0,,12.0,,2017-07-25 13:26:41.622368,52.217899,21.014678,0101000020E61000007FF8F9EFC1033540626A4B1DE41B4A40
16660676,1527,110161810,Shared room,,Warsaw,,Warsaw,3,4.5,4,1.0,,15.0,,2017-07-25 13:26:41.620190,52.182534,20.942238,0101000020E6100000670C738236F134403B342C465D174A40
12627482,1527,54183059,Shared room,,Warsaw,,Warsaw,16,5.0,2,1.0,,15.0,,2017-07-25 13:26:41.617489,52.235543,20.9358,0101000020E6100000C898BB9690EF34409FE6E445261E4A40
